,Performer,IAFD Link,Career scene #
79,Kenzie Karz,"<a href=""https://www.iafd.com/person.rme/id=5bbae7c1-ef8e-48cd-b5fd-571c56480d55"" target=""_blank"">https://www.iafd.com/person.rme/id=5bbae7c1-ef8e-48cd-b5fd-571c56480d55</a>",2
80,Angel,"<a href=""https://www.iafd.com/person.rme/id=924bcf0f-86e8-477c-b2a9-8b23636593dc"" target=""_blank"">https://www.iafd.com/person.rme/id=924bcf0f-86e8-477c-b2a9-8b23636593dc</a>",1
81,Felicia Fallon,"<a href=""https://www.iafd.com/person.rme/id=a05122e7-984d-4260-b905-fc56289d71f9"" target=""_blank"">https://www.iafd.com/person.rme/id=a05122e7-984d-4260-b905-fc56289d71f9</a>",9
82,Grace Wood,"<a href=""https://www.iafd.com/person.rme/id=c5e3367a-7b67-47e5-a1cd-26f5fa914d61"" target=""_blank"">https://www.iafd.com/person.rme/id=c5e3367a-7b67-47e5-a1cd-26f5fa914d61</a>",19
83,Ivy Winters,"<a href=""https://www.iafd.com/person.rme/id=0fbe62a2-ce9a-4b2e-a05c-d9ab8cd00d79"" target=""_blank"">https://www.iafd.com/person.rme/id=0fbe62a2-ce9a-4b2e-a05c-d9ab8cd00d79</a>",141
84,Jade Indica,"<a href=""https://www.iafd.com/person.rme/id=ab99bcf0-b461-4551-9dd7-679b490a6cfa"" target=""_blank"">https://www.iafd.com/person.rme/id=ab99bcf0-b461-4551-9dd7-679b490a6cfa</a>",257
85,Jenny Anderson,"<a href=""https://www.iafd.com/person.rme/id=46719f05-1489-46e1-9bf5-1cf652d929f4"" target=""_blank"">https://www.iafd.com/person.rme/id=46719f05-1489-46e1-9bf5-1cf652d929f4</a>",38
86,Juliette,"<a href=""https://www.iafd.com/person.rme/id=ecd8e67c-0beb-41e3-88b0-0a75efe4d174"" target=""_blank"">https://www.iafd.com/person.rme/id=ecd8e67c-0beb-41e3-88b0-0a75efe4d174</a>",1
87,Kasey Chase,"<a href=""https://www.iafd.com/person.rme/id=9671345d-86f3-4530-a133-95468e248f24"" target=""_blank"">https://www.iafd.com/person.rme/id=9671345d-86f3-4530-a133-95468e248f24</a>",78
88,Layla,"<a href=""https://www.iafd.com/person.rme/id=878e8e46-f62c-48ee-bca4-3bf476237a50"" target=""_blank"">https://www.iafd.com/person.rme/id=878e8e46-f62c-48ee-bca4-3bf476237a50</a>",1
89,Lynn Love,"<a href=""https://www.iafd.com/person.rme/id=3f8da20e-14c0-42ab-99c9-4c74893ccc7b"" target=""_blank"">https://www.iafd.com/person.rme/id=3f8da20e-14c0-42ab-99c9-4c74893ccc7b</a>",79
90,Maria,"<a href=""https://www.iafd.com/person.rme/id=1d325e55-fd81-47d6-9c5d-d5c237dcbc63"" target=""_blank"">https://www.iafd.com/person.rme/id=1d325e55-fd81-47d6-9c5d-d5c237dcbc63</a>",1
91,Mariah,"<a href=""https://www.iafd.com/person.rme/id=0c7a6291-4853-479c-b7b4-d6be0553246c"" target=""_blank"">https://www.iafd.com/person.rme/id=0c7a6291-4853-479c-b7b4-d6be0553246c</a>",1
92,Martina,"<a href=""https://www.iafd.com/person.rme/id=0d4fccbe-fd73-43f3-b9d0-189eaf5c952e"" target=""_blank"">https://www.iafd.com/person.rme/id=0d4fccbe-fd73-43f3-b9d0-189eaf5c952e</a>",1
93,Nadia Nasty,"<a href=""https://www.iafd.com/person.rme/id=be10d2e9-2bb6-4071-9425-59bb13675871"" target=""_blank"">https://www.iafd.com/person.rme/id=be10d2e9-2bb6-4071-9425-59bb13675871</a>",6
94,Nala,"<a href=""https://www.iafd.com/person.rme/id=4f283100-a2d5-410a-9e85-49216f249fe6"" target=""_blank"">https://www.iafd.com/person.rme/id=4f283100-a2d5-410a-9e85-49216f249fe6</a>",2
95,Nala,"<a href=""https://www.iafd.com/person.rme/id=4f283100-a2d5-410a-9e85-49216f249fe6"" target=""_blank"">https://www.iafd.com/person.rme/id=4f283100-a2d5-410a-9e85-49216f249fe6</a>",2
96,Nikki Daniels,"<a href=""https://www.iafd.com/person.rme/id=137577ff-4469-4246-8e83-4918498dad26"" target=""_blank"">https://www.iafd.com/person.rme/id=137577ff-4469-4246-8e83-4918498dad26</a>",337
97,Kelsey Michaels,"<a href=""https://www.iafd.com/person.rme/id=271c9093-1e39-4406-802e-65d14131170a"" target=""_blank"">https://www.iafd.com/person.rme/id=271c9093-1e39-4406-802e-65d14131170a</a>",6
98,Roxy Paige,"<a href=""https://www.iafd.com/person.rme/id=20fb5a4e-4032-45c3-9dbd-403f7c47a50e"" target=""_blank"">https://www.iafd.com/person.rme/id=20fb5a4e-4032-45c3-9dbd-403f7c47a50e</a>",2
99,Sasha Yung,"<a href=""https://www.iafd.com/person.rme/id=17695837-c70e-40a4-b51f-92769ca03fec"" target=""_blank"">https://www.iafd.com/person.rme/id=17695837-c70e-40a4-b51f-92769ca03fec</a>",41
100,Sasha Yung,"<a href=""https://www.iafd.com/person.rme/id=17695837-c70e-40a4-b51f-92769ca03fec"" target=""_blank"">https://www.iafd.com/person.rme/id=17695837-c70e-40a4-b51f-92769ca03fec</a>",41
101,Tristan Taylor,"<a href=""https://www.iafd.com/person.rme/id=f10d8cc0-c7f5-4338-952a-7b71c1e4f2c3"" target=""_blank"">https://www.iafd.com/person.rme/id=f10d8cc0-c7f5-4338-952a-7b71c1e4f2c3</a>",27
102,Syvally Sweet,"<a href=""https://www.iafd.com/person.rme/id=0479ac16-5d10-4ecd-96c7-08bd565b9a80"" target=""_blank"">https://www.iafd.com/person.rme/id=0479ac16-5d10-4ecd-96c7-08bd565b9a80</a>",16
103,Tonya,"<a href=""https://www.iafd.com/person.rme/id=e334463a-ea7b-42bd-95af-09a0b9673157"" target=""_blank"">https://www.iafd.com/person.rme/id=e334463a-ea7b-42bd-95af-09a0b9673157</a>",1
104,Vanessa Cage,"<a href=""https://www.iafd.com/person.rme/id=b07e6b4f-cf30-4e8c-889e-c4242893050f"" target=""_blank"">https://www.iafd.com/person.rme/id=b07e6b4f-cf30-4e8c-889e-c4242893050f</a>",572
105,Vannah Sterling,"<a href=""https://www.iafd.com/person.rme/id=2fe5b2b2-1441-4a35-acbc-54cf3e13e4c1"" target=""_blank"">https://www.iafd.com/person.rme/id=2fe5b2b2-1441-4a35-acbc-54cf3e13e4c1</a>",147
106,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
107,Unknown Female 705623,"<a href=""https://www.iafd.com/person.rme/id=9a149096-908f-441f-9b19-828481f35caa"" target=""_blank"">https://www.iafd.com/person.rme/id=9a149096-908f-441f-9b19-828481f35caa</a>",1
108,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
109,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
110,Shyla Ray,"<a href=""https://www.iafd.com/person.rme/id=1863c54f-a858-4bf3-b68b-10006f99c713"" target=""_blank"">https://www.iafd.com/person.rme/id=1863c54f-a858-4bf3-b68b-10006f99c713</a>",3
111,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
112,Monica Roxxxane,"<a href=""https://www.iafd.com/person.rme/id=4095cc0d-062b-459f-8f6b-7e6d0654c760"" target=""_blank"">https://www.iafd.com/person.rme/id=4095cc0d-062b-459f-8f6b-7e6d0654c760</a>",3
113,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
114,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
115,Duke Skywalker,"<a href=""https://www.iafd.com/person.rme/id=ff1c172a-9beb-448e-863e-9725ada74b73"" target=""_blank"">https://www.iafd.com/person.rme/id=ff1c172a-9beb-448e-863e-9725ada74b73</a>",172
116,Unknown Female 1082558,"<a href=""https://www.iafd.com/person.rme/id=adac9ed1-95be-41de-8f7a-2b7985a0f300"" target=""_blank"">https://www.iafd.com/person.rme/id=adac9ed1-95be-41de-8f7a-2b7985a0f300</a>",1
117,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
118,Jade Wilde,"<a href=""https://www.iafd.com/person.rme/id=e9c5f065-b67d-4a57-b1bb-62abe4449d9c"" target=""_blank"">https://www.iafd.com/person.rme/id=e9c5f065-b67d-4a57-b1bb-62abe4449d9c</a>",19
